epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,361.263,1.50466,1.46631,1.62424,0.77574,0.6309,0.71697,0.39712,1.55879,1.31159,1.64007,0.001208,0.001208,0.001208
82,715.048,1.48044,1.38211,1.59358,0.7996,0.63592,0.71064,0.40027,1.56449,1.29475,1.64034,0.0011981,0.0011981,0.0011981
83,1068.66,1.48107,1.36994,1.60644,0.78452,0.65463,0.71096,0.40025,1.5574,1.28293,1.63755,0.0011882,0.0011882,0.0011882
84,1421.95,1.46426,1.35239,1.59205,0.77856,0.66079,0.71732,0.40253,1.54239,1.27689,1.63215,0.0011783,0.0011783,0.0011783
85,1775.63,1.46543,1.33861,1.58068,0.80275,0.66762,0.73627,0.41577,1.54501,1.25755,1.63411,0.0011684,0.0011684,0.0011684
86,2129.82,1.4451,1.3122,1.56905,0.79504,0.66737,0.73286,0.41685,1.54617,1.25807,1.63456,0.0011585,0.0011585,0.0011585
87,2484.01,1.44559,1.29652,1.57895,0.79298,0.67265,0.7343,0.41763,1.54472,1.23845,1.63316,0.0011486,0.0011486,0.0011486
88,2838.35,1.43493,1.30234,1.56046,0.80132,0.67357,0.7381,0.41861,1.54336,1.23483,1.62857,0.0011387,0.0011387,0.0011387
89,3193.2,1.44744,1.2873,1.57447,0.80096,0.67271,0.74255,0.41691,1.54208,1.22435,1.62943,0.0011288,0.0011288,0.0011288
90,3547.63,1.43309,1.29206,1.56394,0.80981,0.66381,0.74017,0.41768,1.54233,1.21441,1.62839,0.0011189,0.0011189,0.0011189
91,3901.98,1.41789,1.27117,1.55316,0.78759,0.68682,0.74398,0.42183,1.53794,1.20613,1.62371,0.001109,0.001109,0.001109
92,4257.14,1.41544,1.26518,1.54731,0.79005,0.69316,0.75136,0.42259,1.5359,1.20039,1.62185,0.0010991,0.0010991,0.0010991
93,4611.58,1.4188,1.24906,1.54809,0.79777,0.69444,0.75135,0.42245,1.53095,1.19245,1.61583,0.0010892,0.0010892,0.0010892
94,4965.87,1.41849,1.26721,1.54698,0.80471,0.69544,0.75179,0.42684,1.53248,1.18916,1.61789,0.0010793,0.0010793,0.0010793
95,5320.25,1.40867,1.22216,1.53441,0.80429,0.68797,0.75225,0.42907,1.52157,1.18335,1.61101,0.0010694,0.0010694,0.0010694
96,5674.55,1.38991,1.22246,1.53235,0.81075,0.69723,0.75656,0.43254,1.52338,1.17196,1.61055,0.0010595,0.0010595,0.0010595
97,6029.68,1.40417,1.22635,1.53376,0.80328,0.69421,0.75896,0.43126,1.52661,1.16806,1.6147,0.0010496,0.0010496,0.0010496
98,6384.29,1.38289,1.20139,1.52395,0.81544,0.68734,0.76215,0.43104,1.52961,1.16787,1.61918,0.0010397,0.0010397,0.0010397
99,6738.9,1.37124,1.18239,1.51282,0.81185,0.69221,0.75912,0.42727,1.53199,1.16498,1.62146,0.0010298,0.0010298,0.0010298
100,7093.65,1.37491,1.19176,1.51137,0.80775,0.69679,0.75833,0.42854,1.5339,1.16515,1.62405,0.0010199,0.0010199,0.0010199
101,7448.53,1.37017,1.17622,1.50025,0.81134,0.69231,0.76124,0.43027,1.53132,1.16241,1.6227,0.00101,0.00101,0.00101
102,7803.08,1.36079,1.17014,1.50465,0.80195,0.70306,0.76217,0.43051,1.53826,1.15809,1.62683,0.0010001,0.0010001,0.0010001
103,8157.8,1.34882,1.16156,1.49486,0.79718,0.70812,0.76444,0.43005,1.53934,1.15715,1.62598,0.0009902,0.0009902,0.0009902
104,8514.82,1.34556,1.15006,1.49265,0.80059,0.70553,0.76497,0.43051,1.53456,1.15667,1.61963,0.0009803,0.0009803,0.0009803
105,8872.86,1.34067,1.14188,1.48053,0.78545,0.7229,0.76691,0.43037,1.53305,1.15154,1.61734,0.0009704,0.0009704,0.0009704
106,9232.66,1.34787,1.14297,1.48744,0.80055,0.71527,0.77002,0.4319,1.52782,1.14806,1.61581,0.0009605,0.0009605,0.0009605
107,9588.6,1.32299,1.13791,1.48336,0.80546,0.71824,0.76997,0.43523,1.52622,1.15346,1.61471,0.0009506,0.0009506,0.0009506
108,9945.37,1.32487,1.12689,1.47096,0.79962,0.72645,0.7724,0.43517,1.52993,1.15245,1.61703,0.0009407,0.0009407,0.0009407
109,10301.4,1.31261,1.11079,1.47632,0.8031,0.72772,0.77226,0.43674,1.53196,1.14974,1.61766,0.0009308,0.0009308,0.0009308
110,10658.1,1.32444,1.11201,1.48379,0.79876,0.72197,0.76933,0.43588,1.53186,1.14855,1.61911,0.0009209,0.0009209,0.0009209
111,11014.2,1.31705,1.10786,1.47306,0.80616,0.71495,0.7695,0.43689,1.53411,1.14723,1.62132,0.000911,0.000911,0.000911
112,11371.1,1.30805,1.09924,1.46593,0.81223,0.70804,0.76857,0.43784,1.53051,1.14354,1.62076,0.0009011,0.0009011,0.0009011
113,11727.1,1.29552,1.08649,1.45474,0.81759,0.71055,0.77087,0.43774,1.53205,1.1413,1.62325,0.0008912,0.0008912,0.0008912
114,12082.9,1.30491,1.07944,1.45028,0.81417,0.70374,0.77052,0.43583,1.53212,1.14125,1.62315,0.0008813,0.0008813,0.0008813
115,12438.9,1.28315,1.06458,1.44241,0.83019,0.69966,0.77512,0.43901,1.53253,1.1377,1.62526,0.0008714,0.0008714,0.0008714
116,12794.1,1.28633,1.08056,1.4411,0.81395,0.70893,0.77394,0.43958,1.52984,1.13714,1.62344,0.0008615,0.0008615,0.0008615
117,13150,1.30585,1.08353,1.45846,0.79799,0.72415,0.77536,0.43979,1.52896,1.13128,1.62277,0.0008516,0.0008516,0.0008516
118,13505.1,1.28294,1.04959,1.44313,0.81476,0.70906,0.77492,0.44012,1.52951,1.13248,1.62182,0.0008417,0.0008417,0.0008417
119,13860.9,1.27203,1.03918,1.43109,0.80438,0.71913,0.77676,0.44038,1.53022,1.13121,1.62291,0.0008318,0.0008318,0.0008318
120,14216.2,1.2708,1.04973,1.43263,0.80947,0.71152,0.77595,0.44129,1.5308,1.13048,1.62244,0.0008219,0.0008219,0.0008219
121,14571.7,1.25795,1.03326,1.42801,0.81336,0.71648,0.77771,0.44279,1.52881,1.12744,1.62081,0.000812,0.000812,0.000812
122,14926.8,1.26974,1.03841,1.43964,0.81309,0.72232,0.78094,0.4438,1.52652,1.12586,1.62031,0.0008021,0.0008021,0.0008021
123,15282.4,1.2473,1.01166,1.41982,0.81198,0.71669,0.78033,0.44337,1.52526,1.1244,1.61926,0.0007922,0.0007922,0.0007922
124,15637.7,1.25408,1.01517,1.42109,0.81043,0.71996,0.77915,0.44363,1.52525,1.1201,1.61943,0.0007823,0.0007823,0.0007823
125,15992.4,1.24045,1.01718,1.41281,0.81227,0.71523,0.77893,0.44503,1.52325,1.12373,1.61916,0.0007724,0.0007724,0.0007724
126,16347.7,1.23524,0.9958,1.41009,0.8282,0.71152,0.77846,0.4457,1.5245,1.12071,1.62067,0.0007625,0.0007625,0.0007625
127,16703.2,1.24282,1.00916,1.41413,0.83655,0.71107,0.78007,0.44661,1.52506,1.11765,1.62131,0.0007526,0.0007526,0.0007526
128,17057.9,1.23465,0.98947,1.40368,0.84656,0.70581,0.77994,0.44594,1.52476,1.11553,1.62221,0.0007427,0.0007427,0.0007427
129,17413.5,1.23819,1.00071,1.40835,0.83444,0.71092,0.78042,0.44553,1.52499,1.11158,1.62304,0.0007328,0.0007328,0.0007328
130,17769.7,1.22227,0.96578,1.39586,0.8484,0.70515,0.77971,0.44597,1.52746,1.10953,1.62589,0.0007229,0.0007229,0.0007229
131,18125.3,1.2194,0.979,1.38474,0.82331,0.71816,0.78126,0.44629,1.52852,1.10755,1.62733,0.000713,0.000713,0.000713
132,18481.4,1.20534,0.94878,1.38184,0.82195,0.71898,0.77952,0.44522,1.52817,1.1073,1.62818,0.0007031,0.0007031,0.0007031
133,18836.8,1.19929,0.95629,1.38254,0.82283,0.71898,0.77955,0.44422,1.52943,1.10579,1.62928,0.0006932,0.0006932,0.0006932
134,19195.3,1.211,0.96309,1.38301,0.82058,0.71898,0.77962,0.44442,1.53049,1.10422,1.63112,0.0006833,0.0006833,0.0006833
135,19550.6,1.20352,0.94835,1.38228,0.82306,0.72218,0.78052,0.44387,1.53217,1.10278,1.63358,0.0006734,0.0006734,0.0006734
136,19906.6,1.19493,0.94862,1.38065,0.82493,0.72148,0.78047,0.44381,1.53247,1.10249,1.63433,0.0006635,0.0006635,0.0006635
137,20262.6,1.19342,0.94898,1.3785,0.82361,0.72035,0.77845,0.44275,1.53285,1.09999,1.63584,0.0006536,0.0006536,0.0006536
138,20618.8,1.18122,0.92621,1.36515,0.82178,0.72025,0.77744,0.44289,1.53477,1.09799,1.63801,0.0006437,0.0006437,0.0006437
139,20974.5,1.18157,0.93962,1.3717,0.83215,0.72148,0.78104,0.4431,1.5364,1.09394,1.63981,0.0006338,0.0006338,0.0006338
140,21330.6,1.18142,0.92363,1.36036,0.83059,0.72148,0.7807,0.44312,1.53648,1.09206,1.64083,0.0006239,0.0006239,0.0006239
141,21686.3,1.17185,0.9199,1.35874,0.8312,0.72056,0.78047,0.44347,1.53782,1.09039,1.64273,0.000614,0.000614,0.000614
142,22041.9,1.1581,0.89429,1.3516,0.83005,0.71898,0.78022,0.44383,1.54031,1.08596,1.64431,0.0006041,0.0006041,0.0006041
143,22397.7,1.16743,0.93592,1.35853,0.83348,0.72166,0.78254,0.4453,1.54169,1.08385,1.6463,0.0005942,0.0005942,0.0005942
144,22753.4,1.1607,0.90029,1.34295,0.83033,0.72145,0.78236,0.44461,1.54217,1.08508,1.64696,0.0005843,0.0005843,0.0005843
145,23109.7,1.15605,0.91095,1.35262,0.82914,0.72089,0.78018,0.44444,1.54265,1.08421,1.64793,0.0005744,0.0005744,0.0005744
146,23465.8,1.15924,0.89634,1.35387,0.82901,0.7213,0.77948,0.44365,1.54346,1.08298,1.64797,0.0005645,0.0005645,0.0005645
147,23821.2,1.13716,0.8904,1.33454,0.8283,0.72145,0.77945,0.44311,1.54267,1.08458,1.6475,0.0005546,0.0005546,0.0005546
148,24177.2,1.13684,0.89621,1.33797,0.83282,0.71939,0.78107,0.44361,1.54406,1.08398,1.64876,0.0005447,0.0005447,0.0005447
149,24532.1,1.13961,0.8874,1.33686,0.82972,0.71934,0.77988,0.44425,1.54409,1.08364,1.64936,0.0005348,0.0005348,0.0005348
150,24887.4,1.13335,0.8774,1.3331,0.83022,0.71897,0.7797,0.44406,1.5447,1.07893,1.65034,0.0005249,0.0005249,0.0005249
151,25242.9,1.11682,0.87443,1.32081,0.828,0.71897,0.77993,0.44478,1.54555,1.07893,1.65136,0.000515,0.000515,0.000515
152,25598.9,1.12996,0.88151,1.33094,0.82766,0.71875,0.78014,0.44471,1.54614,1.07752,1.6523,0.0005051,0.0005051,0.0005051
